-4.655533134937286377e-01,1.491034150123596191e+00,5.793197751045227051e-01,7.610957836732268333e-04,8.009850978851318359e-03,-7.003647685050964355e-01,7.137397527694702148e-01,-3.628749027848243713e-02,1.553663015365600586e-01,7.394109666347503662e-02,2.415475249290466309e-01,3.563243895769119263e-03,-3.517353236675262451e-01,2.602293714880943298e-02,-1.123236417770385742e-01,-1.293134391307830811e-01,4.738663733005523682e-01,-1.314523979090154171e-03,7.014466077089309692e-02,2.161399424076080322e-01,1.709265857934951782e-01,-8.169908821582794189e-02,-5.505409091711044312e-02,-1.973834075033664703e-02,-6.492467969655990601e-02,-3.720172047615051270e-01,1.881261616945266724e-01,-1.118119060993194580e-01,4.112206026911735535e-02
-4.655544757843017578e-01,1.491054654121398926e+00,5.793039798736572266e-01,1.874709996627643704e-04,8.443806320428848267e-03,-7.000794410705566406e-01,7.140150070190429688e-01,-3.518952429294586182e-02,1.596052646636962891e-01,8.421100676059722900e-02,2.487267106771469116e-01,-1.532053854316473007e-02,-3.587757349014282227e-01,2.698999829590320587e-02,-1.116246730089187622e-01,-1.323538720607757568e-01,4.821235239505767822e-01,-7.385602686554193497e-03,7.382661849260330200e-02,2.152857035398483276e-01,1.861244738101959229e-01,-9.574523568153381348e-02,-5.769944190979003906e-02,-2.747632935643196106e-02,-6.725247949361801147e-02,-3.725795447826385498e-01,2.074658423662185669e-01,-1.280555725097656250e-01,4.341723397374153137e-02
-4.654966592788696289e-01,1.491116046905517578e+00,5.793217420578002930e-01,-3.542653284966945648e-04,8.391527459025382996e-03,-7.000933885574340820e-01,7.140018939971923828e-01,-3.526561334729194641e-02,1.620093286037445068e-01,8.267247676849365234e-02,2.491870969533920288e-01,-9.968468919396400452e-03,-3.575271666049957275e-01,2.382670901715755463e-02,-1.084485203027725220e-01,-1.259691715240478516e-01,4.834116697311401367e-01,-9.985659271478652954e-03,7.557597011327743530e-02,2.147270739078521729e-01,1.944514811038970947e-01,-1.027918532490730286e-01,-5.837675929069519043e-02,-3.065506182610988617e-02,-6.839028000831604004e-02,-3.722697496414184570e-01,2.181939184665679932e-01,-1.375773251056671143e-01,4.396008327603340149e-02
-4.654341042041778564e-01,1.491204500198364258e+00,5.793266892433166504e-01,-3.516731667332351208e-04,8.650274015963077545e-03,-6.998254060745239258e-01,7.142614722251892090e-01,-3.625112771987915039e-02,1.619508713483810425e-01,8.831680566072463989e-02,2.531079947948455811e-01,-2.087767980992794037e-02,-3.568861782550811768e-01,2.591737173497676849e-02,-1.094580739736557007e-01,-1.297472417354583740e-01,4.827665984630584717e-01,-1.217241585254669189e-02,7.614554464817047119e-02,2.138455361127853394e-01,1.978114098310470581e-01,-1.056696623563766479e-01,-5.848582834005355835e-02,-3.294959291815757751e-02,-6.877513974905014038e-02,-3.730491399765014648e-01,2.219164818525314331e-01,-1.404414772987365723e-01,4.391867667436599731e-02
-4.653619527816772461e-01,1.491291284561157227e+00,5.793415904045104980e-01,-5.031592445448040962e-04,8.417274802923202515e-03,-6.999257206916809082e-01,7.141658663749694824e-01,-3.642202168703079224e-02,1.633167415857315063e-01,8.431272208690643311e-02,2.514256238937377930e-01,-1.304334495216608047e-02,-3.545775413513183594e-01,2.419229038059711456e-02,-1.084632873535156250e-01,-1.246378943324089050e-01,4.823091328144073486e-01,-1.225986145436763763e-02,7.603958249092102051e-02,2.139394730329513550e-01,1.993728429079055786e-01,-1.067214533686637878e-01,-5.829050019383430481e-02,-3.315392881631851196e-02,-6.941498070955276489e-02,-3.728000819683074951e-01,2.241254895925521851e-01,-1.424277424812316895e-01,4.402111098170280457e-02
-4.652796983718872070e-01,1.491418361663818359e+00,5.793434977531433105e-01,-3.779848630074411631e-04,8.551096543669700623e-03,-6.997066140174865723e-01,7.143790125846862793e-01,-3.696648404002189636e-02,1.634959727525711060e-01,8.874788135290145874e-02,2.543571889400482178e-01,-2.393681555986404419e-02,-3.542462289333343506e-01,2.675686031579971313e-02,-1.104026734828948975e-01,-1.294248104095458984e-01,4.815469682216644287e-01,-1.332635153084993362e-02,7.582098990678787231e-02,2.134983390569686890e-01,2.002057433128356934e-01,-1.075177639722824097e-01,-5.806692317128181458e-02,-3.441508114337921143e-02,-6.985098868608474731e-02,-3.735579550266265869e-01,2.250089049339294434e-01,-1.426297128200531006e-01,4.401228204369544983e-02
-4.651937186717987061e-01,1.491538405418395996e+00,5.793548226356506348e-01,-4.660233680624514818e-04,8.268945850431919098e-03,-6.998361945152282715e-01,7.142553329467773438e-01,-3.678828850388526917e-02,1.652164459228515625e-01,8.407598733901977539e-02,2.521944940090179443e-01,-1.669117249548435211e-02,-3.527077734470367432e-01,2.475536800920963287e-02,-1.093285977840423584e-01,-1.249571666121482849e-01,4.812416732311248779e-01,-1.272385939955711365e-02,7.527480274438858032e-02,2.139247506856918335e-01,2.001181840896606445e-01,-1.072812452912330627e-01,-5.766136944293975830e-02,-3.408370539546012878e-02,-7.049431651830673218e-02,-3.731927871704101562e-01,2.256163060665130615e-01,-1.431013792753219604e-01,4.419681057333946228e-02
-4.651234447956085205e-01,1.491690278053283691e+00,5.793563127517700195e-01,-3.691072924993932247e-04,8.450961671769618988e-03,-6.995820999145507812e-01,7.145021557807922363e-01,-3.744605183601379395e-02,1.654281914234161377e-01,8.817364275455474854e-02,2.550775706768035889e-01,-2.787084318697452545e-02,-3.532873094081878662e-01,2.703217789530754089e-02,-1.106635406613349915e-01,-1.296472549438476562e-01,4.805510342121124268e-01,-1.364594604820013046e-02,7.518895715475082397e-02,2.134017646312713623e-01,2.002836465835571289e-01,-1.075135469436645508e-01,-5.742757767438888550e-02,-3.513412922620773315e-02,-7.066271454095840454e-02,-3.738666176795959473e-01,2.258447259664535522e-01,-1.427474915981292725e-01,4.419792070984840393e-02
-4.650676548480987549e-01,1.491841554641723633e+00,5.793678760528564453e-01,-4.748468636535108089e-04,8.271840400993824005e-03,-6.996768116950988770e-01,7.144114375114440918e-01,-3.746946528553962708e-02,1.669231504201889038e-01,8.346395939588546753e-02,2.529624998569488525e-01,-1.982857473194599152e-02,-3.524069190025329590e-01,2.520292438566684723e-02,-1.094185337424278259e-01,-1.250959932804107666e-01,4.801744222640991211e-01,-1.332025509327650070e-02,7.500876486301422119e-02,2.134788036346435547e-01,1.999753415584564209e-01,-1.069119274616241455e-01,-5.726981535553932190e-02,-3.477995470166206360e-02,-7.090350240468978882e-02,-3.735066056251525879e-01,2.260208427906036377e-01,-1.428922414779663086e-01,4.432224109768867493e-02
-4.650221765041351318e-01,1.492030978202819824e+00,5.793612599372863770e-01,-3.733640769496560097e-04,8.582375943660736084e-03,-6.994516849517822266e-01,7.146282196044921875e-01,-3.799355775117874146e-02,1.669070422649383545e-01,8.881619572639465332e-02,2.560123503208160400e-01,-2.947395667433738708e-02,-3.528209328651428223e-01,2.803464606404304504e-02,-1.110173910856246948e-01,-1.303676068782806396e-01,4.795642793178558350e-01,-1.476177200675010681e-02,7.521058619022369385e-02,2.128072828054428101e-01,2.003825455904006958e-01,-1.070476397871971130e-01,-5.729845538735389709e-02,-3.606040403246879578e-02,-7.073606550693511963e-02,-3.741222918033599854e-01,2.261388748884201050e-01,-1.423938274383544922e-01,4.426177963614463806e-02
